song_genre_name,song_genre_id
acid jazz,1
acid rock,2
adult standards,3
alternative dance,4
alternative metal,5
alternative r&b,6
alternative rock,7
anime,8
anti-folk,9
aor,10
art pop,11
art rock,12
avant-garde,13
bass house,14
bassline,15
bedroom pop,16
big band,17
big beat,18
blues rock,19
bossa nova,20
brazilian jazz,21
breakbeat,22
britpop,23
chicago drill,24
christian alternative rock,25
christmas,26
classic rock,27
comedy,28
country rock,29
dark r&b,30
darkwave,31
deep house,32
disco house,33
downtempo,34
drift phonk,35
drill,36
drum and bass,37
dubstep,38
east coast hip hop,39
edm,40
electro,41
electro swing,42
electroclash,43
electronic,44
emo,45
emo rap,46
eurodance,47
exotica,48
experimental,49
french house,50
funk rock,51
future bass,52
g-funk,53
gangster rap,54
garage rock,55
glam metal,56
glam rock,57
glitch,58
gothic rock,59
grunge,60
hard house,61
hard rock,62
hardcore hip hop,63
hardcore techno,64
hardstyle,65
heavy metal,66
hip hop,67
house,68
hyperpop,69
hypertechno,70
indie,71
indie rock,72
j-pop,73
jangle pop,74
jazz,75
k-pop,76
lo-fi,77
lo-fi indie,78
madchester,79
melodic rap,80
metal,81
metalcore,82
modern blues,83
musicals,84
native american music,85
neo soul,86
neo-psychedelic,87
new wave,88
noise rock,89
nu jazz,90
nu metal,91
old school hip hop,92
phonk,93
pop,94
pop punk,95
post-grunge,96
post-hardcore,97
post-punk,98
power pop,99
progressive house,100
proto-punk,101
psychedelic rock,102
psytrance,103
punk,104
queercore,105
quiet storm,106
r&b,107
rap,108
rap metal,109
rap rock,110
riot grrrl,111
rock,112
screamo,113
shibuya-kei,114
shoegaze,115
slap house,116
soft pop,117
soft rock,118
soundtrack,119
southern hip hop,120
southern rock,121
spoken word,122
stoner rock,123
surf rock,124
swing music,125
synthpop,126
synthwave,127
trap,128
trap soul,129
trip hop,130
uk garage,131
vaporwave,132
vocal jazz,133
vocaloid,134
west coast hip hop,135
yacht rock,136
